        p    n   rawM3  3n-3  centM3  degOK  thresh n^0.86
    20011    6      15    15       6   True            4.7
    32771   10      27    27       6   True            7.2
    65537   16      45    45       6   True           10.9
   131101   20      57    57       6   True           13.1
   262153   18      51    51      12   True           12.0
   524341   30      87    87      18   True           18.6
  1048601   28      81    81       6   True           17.6
  2097223   34      99    99       6   True           20.8
