n,p,M,trim,theta,count,survival,micro_cost,slack
256,5855489,22873,5,0.75,8931,0.390460368120,0.569538551416,0.031661448584
256,5767681,22530,5,0.75,8797,0.390457168220,0.569533883935,0.031666116065
1024,21780481,21270,5,0.75,8305,0.390456041373,0.569532240278,0.031667759722
1024,22069249,21552,5,0.75,8415,0.390451002227,0.569524890012,0.031675109988
256,6238721,24370,5,0.75,9515,0.390439064423,0.569507477132,0.031692522868
1024,22614017,22084,5,0.75,8622,0.390418402463,0.569477338906,0.031722661094
256,6317569,24678,5,0.75,9634,0.390388200016,0.569433284606,0.031766715394
256,5460737,21331,5,0.75,8327,0.390370821809,0.569407936172,0.031792063828
512,10493953,20496,5,0.75,8001,0.390368852459,0.569405063612,0.031794936388
512,11762689,22974,5,0.75,8968,0.390354313572,0.569383856705,0.031816143295
1024,22327297,21804,5,0.75,8511,0.390341221794,0.569364760601,0.031835239399
256,5439233,21247,5,0.75,8293,0.390313926672,0.569324947022,0.031875052978
1024,24591361,24015,5,0.75,9373,0.390297730585,0.569301322868,0.031898677132
1024,23861249,23302,5,0.75,9094,0.390266929877,0.569256395926,0.031943604074
512,11374081,22215,5,0.75,8669,0.390231825343,0.569205191279,0.031994808721
256,5930497,23166,5,0.75,9040,0.390227056894,0.569198235859,0.032001764141
256,5790209,22618,5,0.75,8826,0.390220178619,0.569188202977,0.032011797023
512,12272129,23969,5,0.75,9353,0.390212357629,0.569176795019,0.032023204981
1024,22552577,22024,5,0.75,8594,0.390210679259,0.569174346893,0.032025653107
256,6274049,24508,5,0.75,9563,0.390199118655,0.569157484209,0.032042515791
512,12426241,24270,5,0.75,9470,0.390193654718,0.569149514328,0.032050485672
512,10890241,21270,5,0.75,8299,0.390173953926,0.569120778094,0.032079221906
256,5976577,23346,5,0.75,9109,0.390173905594,0.569120707595,0.032079292405
256,5878529,22963,5,0.75,8959,0.390149370727,0.569084920217,0.032115079783
1024,22429697,21904,5,0.75,8545,0.390111395179,0.569029527813,0.032170472187
512,12283393,23991,5,0.75,9359,0.390104622567,0.569019649055,0.032180350945
512,12519937,24453,5,0.75,9539,0.390095284832,0.569006028723,0.032193971277
256,5577217,21786,5,0.75,8498,0.390067015515,0.568964794151,0.032235205849
256,5625857,21976,5,0.75,8572,0.390061885693,0.568957311622,0.032242688378
512,12692993,24791,5,0.75,9670,0.390060909201,0.568955887277,0.032244112723
512,11295233,22061,5,0.75,8605,0.390054847922,0.568947046093,0.032252953907
256,5835521,22795,5,0.75,8891,0.390041675806,0.568927832804,0.032272167196
256,6057473,23662,5,0.75,9229,0.390034654721,0.568917591614,0.032282408386
1024,20746241,20260,5,0.75,7902,0.390029615005,0.568910240516,0.032289759484
1024,23351297,22804,5,0.75,8894,0.390019294861,0.568895187209,0.032304812791
1024,23354369,22807,5,0.75,8895,0.390011838471,0.568884311069,0.032315688931
512,10410497,20333,5,0.75,7930,0.390006393547,0.568876368922,0.032323631078
256,5890561,23010,5,0.75,8974,0.390004345937,0.568873382208,0.032326617792
512,11175937,21828,5,0.75,8513,0.390003665017,0.568872388997,0.032327611003
512,10673153,20846,5,0.75,8130,0.390002878250,0.568871241392,0.032328758608
512,10819073,21131,5,0.75,8241,0.389995740855,0.568860830548,0.032339169452
512,11060737,21603,5,0.75,8425,0.389992130723,0.568855564689,0.032344435311
1024,21562369,21057,5,0.75,8212,0.389989077266,0.568851110815,0.032348889185
512,11410433,22286,5,0.75,8691,0.389975769541,0.568831699723,0.032368300277
512,12454913,24326,5,0.75,9486,0.389953136562,0.568798686501,0.032401313499
256,5989889,23398,5,0.75,9124,0.389947858791,0.568790988169,0.032409011831
256,5846273,22837,5,0.75,8905,0.389937382318,0.568775706835,0.032424293165
1024,20628481,20145,5,0.75,7855,0.389923057831,0.568754812658,0.032445187342
512,12637697,24683,5,0.75,9624,0.389903982498,0.568726988740,0.032473011260
256,6140929,23988,5,0.75,9353,0.389903284976,0.568725971311,0.032474028689
512,10882049,21254,5,0.75,8286,0.389856027101,0.568657039394,0.032542960606
1024,24677377,24099,5,0.75,9395,0.389850201253,0.568648541618,0.032551458382
256,5406977,21121,5,0.75,8234,0.389848965485,0.568646739084,0.032553260916
1024,21964801,21450,5,0.75,8362,0.389836829837,0.568629037623,0.032570962377
256,5912321,23095,5,0.75,9003,0.389824637367,0.568611253279,0.032588746721
1024,22835201,22300,5,0.75,8693,0.389820627803,0.568605404794,0.032594595206
512,11919361,23280,5,0.75,9075,0.389819587629,0.568603887562,0.032596112438
512,10587649,20679,5,0.75,8061,0.389815755114,0.568598297327,0.032601702673
512,10754561,21005,5,0.75,8188,0.389811949536,0.568592746384,0.032607253616
512,10610177,20723,5,0.75,8078,0.389808425421,0.568587605992,0.032612394008
1024,23938049,23377,5,0.75,9112,0.389784831244,0.568553190737,0.032646809263
1024,24726529,24147,5,0.75,9412,0.389779268646,0.568545076945,0.032654923055
256,5824513,22752,5,0.75,8868,0.389767932489,0.568528541648,0.032671458352
256,6291713,24577,5,0.75,9579,0.389754648655,0.568509165403,0.032690834597
1024,22392833,21868,5,0.75,8523,0.389747576367,0.568498849527,0.032701150473
256,5586433,21822,5,0.75,8505,0.389744294748,0.568494062848,0.032705937152
1024,20659201,20175,5,0.75,7863,0.389739776952,0.568487473039,0.032712526961
512,12366337,24153,5,0.75,9412,0.389682441105,0.568403841055,0.032796158945
512,12207617,23843,5,0.75,9291,0.389674118190,0.568391700973,0.032808299027
512,11017217,21518,5,0.75,8385,0.389673761502,0.568391180696,0.032808819304
1024,25043969,24457,5,0.75,9530,0.389663491025,0.568376199835,0.032823800165
1024,21396481,20895,5,0.75,8142,0.389662598708,0.568374898271,0.032825101729
512,11496449,22454,5,0.75,8749,0.389641043912,0.568343457725,0.032856542275
512,11384833,22236,5,0.75,8664,0.389638424177,0.568339636492,0.032860363508
512,11804161,23055,5,0.75,8983,0.389633485144,0.568332432253,0.032867567747
256,5602561,21885,5,0.75,8527,0.389627598812,0.568323846252,0.032876153748
1024,25246721,24655,5,0.75,9606,0.389616710606,0.568307964352,0.032892035648
1024,22592513,22063,5,0.75,8596,0.389611566877,0.568300461535,0.032899538465
1024,25259009,24667,5,0.75,9610,0.389589329874,0.568268025900,0.032931974100
512,12244481,23915,5,0.75,9317,0.389588124608,0.568266267858,0.032933732142
512,10822657,21138,5,0.75,8235,0.389582741981,0.568258416579,0.032941583421
1024,22079489,21562,5,0.75,8400,0.389574250997,0.568246031346,0.032953968654
256,6223873,24312,5,0.75,9471,0.389560710760,0.568226281103,0.032973718897
256,5796097,22641,5,0.75,8820,0.389558765072,0.568223443058,0.032976556942
512,10877441,21245,5,0.75,8276,0.389550482466,0.568211361772,0.032988638228
512,10279937,20078,5,0.75,7821,0.389530829764,0.568182695683,0.033017304317
512,10571777,20648,5,0.75,8043,0.389529252228,0.568180394636,0.033019605364
1024,24204289,23637,5,0.75,9207,0.389516436096,0.568161700597,0.033038299403
1024,21409793,20908,5,0.75,8144,0.389515974747,0.568161027657,0.033038972343
256,6108929,23863,5,0.75,9295,0.389515148975,0.568159823160,0.033040176840
256,5293313,20677,5,0.75,8054,0.389514919959,0.568159489110,0.033040510890
256,5175041,20215,5,0.75,7874,0.389512738066,0.568156306527,0.033043693473
512,11614721,22685,5,0.75,8836,0.389508485784,0.568150104006,0.033049895994
512,12508673,24431,5,0.75,9516,0.389505136916,0.568145219236,0.033054780764
512,11453441,22370,5,0.75,8713,0.389494859186,0.568130227795,0.033069772205
1024,20816897,20329,5,0.75,7918,0.389492842737,0.568127286535,0.033072713465
256,6181633,24147,5,0.75,9405,0.389489377562,0.568122232115,0.033077767885
1024,20901889,20412,5,0.75,7950,0.389476778366,0.568103854505,0.033096145495
512,12513793,24441,5,0.75,9519,0.389468516018,0.568091802769,0.033108197231
1024,25101313,24513,5,0.75,9547,0.389466813528,0.568089319459,0.033110680541
256,5984513,23377,5,0.75,9104,0.389442614536,0.568054022000,0.033145978000
