n,p,M,trim,theta,count,survival,micro_cost,slack
1024,1376257,1344,5,0.75,528,0.392857142857,0.573034567205,0.028165432795
256,314113,1227,5,0.75,482,0.392828035860,0.572992110765,0.028207889235
256,284161,1110,5,0.75,436,0.392792792793,0.572940704049,0.028259295951
1024,959489,937,5,0.75,368,0.392742796158,0.572867777285,0.028332222715
512,310273,606,5,0.75,238,0.392739273927,0.572862639642,0.028337360358
256,133633,522,5,0.75,205,0.392720306513,0.572834973138,0.028365026862
1024,858113,838,5,0.75,329,0.392601431981,0.572661578769,0.028538421231
256,184577,721,5,0.75,283,0.392510402219,0.572528799714,0.028671200286
256,307201,1200,5,0.75,471,0.392500000000,0.572513626689,0.028686373311
256,176129,688,5,0.75,270,0.392441860465,0.572428822419,0.028771177581
512,575489,1124,5,0.75,441,0.392348754448,0.572293014869,0.028906985131
256,221953,867,5,0.75,340,0.392156862745,0.572013115213,0.029186884787
256,187393,732,5,0.75,287,0.392076502732,0.571895899411,0.029304100589
512,464897,908,5,0.75,356,0.392070484581,0.571887121135,0.029312878865
512,270337,528,5,0.75,207,0.392045454545,0.571850611488,0.029349388512
1024,1251329,1222,5,0.75,479,0.391980360065,0.571755662502,0.029444337498
512,279553,546,5,0.75,214,0.391941391941,0.571698822293,0.029501177707
512,532993,1041,5,0.75,408,0.391930835735,0.571683424657,0.029516575343
256,295937,1156,5,0.75,453,0.391868512111,0.571592517335,0.029607482665
1024,572417,559,5,0.75,219,0.391771019678,0.571450311612,0.029749688388
512,685057,1338,5,0.75,524,0.391629297459,0.571243590843,0.029956409157
256,369409,1443,5,0.75,565,0.391545391545,0.571121202872,0.030078797128
1024,721921,705,5,0.75,276,0.391489361702,0.571039475868,0.030160524132
256,379649,1483,5,0.75,580,0.391099123399,0.570470261228,0.030729738772
1024,1146881,1120,5,0.75,438,0.391071428571,0.570429864627,0.030770135373
1024,1454081,1420,5,0.75,555,0.390845070423,0.570099691060,0.031100308940
1024,1543169,1507,5,0.75,589,0.390842733908,0.570096282943,0.031103717057
1024,1139713,1113,5,0.75,435,0.390835579515,0.570085847305,0.031114152695
1024,974849,952,5,0.75,372,0.390756302521,0.569970211231,0.031229788769
