n,p,M,trim,theta,count,survival,micro_cost,slack
256,2081537,8131,5,0.75,3096,0.380764973558,0.555396524657,0.045803475343
256,2078977,8121,5,0.75,3091,0.380618150474,0.555182363597,0.046017636403
1024,8270849,8077,5,0.75,3072,0.380339234864,0.554775527960,0.046424472040
256,2095361,8185,5,0.75,3112,0.380207697007,0.554583662442,0.046616337558
512,4105217,8018,5,0.75,3043,0.379521077575,0.553582136376,0.047617863624
1024,8318977,8124,5,0.75,3083,0.379492860660,0.553540978240,0.047659021760
256,2073601,8100,5,0.75,3072,0.379259259259,0.553200239424,0.047999760576
512,4169729,8144,5,0.75,3076,0.377701375246,0.550927857700,0.050272142300
256,2056193,8032,5,0.75,3033,0.377614541833,0.550801199580,0.050398800420
1024,8245249,8052,5,0.75,3036,0.377049180328,0.549976544381,0.051223455619
512,4187137,8178,5,0.75,3065,0.374786011250,0.546675410275,0.054524589725
