n,p,M,trim,theta,count,survival,micro_cost,slack
1024,9484289,9262,5,0.75,3618,0.390628374001,0.569783610413,0.031416389587
512,4727809,9234,5,0.75,3607,0.390621615768,0.569773752628,0.031426247372
256,2520577,9846,5,0.75,3846,0.390615478367,0.569764800410,0.031435199590
1024,9361409,9142,5,0.75,3571,0.390614745132,0.569763730889,0.031436269111
1024,9597953,9373,5,0.75,3661,0.390589992532,0.569727625918,0.031472374082
512,4704769,9189,5,0.75,3589,0.390575688323,0.569706761321,0.031493238679
1024,9656321,9430,5,0.75,3683,0.390562036055,0.569686847666,0.031513152334
1024,9963521,9730,5,0.75,3800,0.390544707091,0.569661571060,0.031538428940
256,2394881,9355,5,0.75,3653,0.390486370925,0.569576479977,0.031623520023
1024,9763841,9535,5,0.75,3723,0.390456213949,0.569532492003,0.031667507997
512,4995073,9756,5,0.75,3809,0.390426404264,0.569489010600,0.031710989400
1024,10223617,9984,5,0.75,3898,0.390424679487,0.569486494783,0.031713505217
512,5117953,9996,5,0.75,3902,0.390356142457,0.569386524378,0.031813475622
1024,9296897,9079,5,0.75,3544,0.390351360282,0.569379548938,0.031820451062
512,4350977,8498,5,0.75,3316,0.390209461050,0.569172569972,0.032027430028
256,2100737,8206,5,0.75,3202,0.390202291007,0.569162111507,0.032037888493
1024,9161729,8947,5,0.75,3491,0.390186654745,0.569139303933,0.032060696067
512,4423681,8640,5,0.75,3371,0.390162037037,0.569103395721,0.032096604279
512,4327937,8453,5,0.75,3298,0.390157340589,0.569096545325,0.032103454675
512,4888577,9548,5,0.75,3725,0.390134059489,0.569062586734,0.032137413266
1024,10163201,9925,5,0.75,3872,0.390125944584,0.569050750063,0.032149249937
256,2306561,9010,5,0.75,3515,0.390122086570,0.569045122635,0.032154877365
512,5080577,9923,5,0.75,3871,0.390103799254,0.569018448143,0.032181551857
512,4404737,8603,5,0.75,3356,0.390096477973,0.569007769078,0.032192230922
512,5027329,9819,5,0.75,3830,0.390060087585,0.568954688841,0.032245311159
256,2347777,9171,5,0.75,3577,0.390033802203,0.568916348103,0.032283651897
512,5114881,9990,5,0.75,3896,0.389989989990,0.568852442144,0.032347557856
256,2321153,9067,5,0.75,3536,0.389985662292,0.568846129619,0.032353870381
256,2384897,9316,5,0.75,3633,0.389974237870,0.568829465576,0.032370534424
1024,10186753,9948,5,0.75,3879,0.389927623643,0.568761472505,0.032438527495
1024,10156033,9918,5,0.75,3867,0.389897156685,0.568717032381,0.032482967619
512,5116417,9993,5,0.75,3896,0.389872911038,0.568681666869,0.032518333131
512,4377089,8549,5,0.75,3333,0.389870160253,0.568677654482,0.032522345518
1024,9920513,9688,5,0.75,3777,0.389863748968,0.568668302767,0.032531697233
256,2464769,9628,5,0.75,3753,0.389800581637,0.568576164786,0.032623835214
1024,9315329,9097,5,0.75,3546,0.389798834781,0.568573616763,0.032626383237
512,5099009,9959,5,0.75,3882,0.389798172507,0.568572650749,0.032627349251
256,2272513,8877,5,0.75,3460,0.389771319139,0.568533481528,0.032666518472
512,4300801,8400,5,0.75,3274,0.389761904762,0.568519749403,0.032680250597
256,2527489,9873,5,0.75,3848,0.389749822749,0.568502126174,0.032697873826
1024,9169921,8955,5,0.75,3490,0.389726409827,0.568467975303,0.032732024697
512,5102593,9966,5,0.75,3884,0.389725065222,0.568466014017,0.032733985983
1024,10027009,9792,5,0.75,3816,0.389705882353,0.568438033243,0.032761966757
512,4672001,9125,5,0.75,3556,0.389698630137,0.568427454919,0.032772545081
256,2557441,9990,5,0.75,3893,0.389689689690,0.568414414083,0.032785585917
1024,9870337,9639,5,0.75,3756,0.389666977902,0.568381285911,0.032818714089
1024,9692161,9465,5,0.75,3688,0.389646064448,0.568350780847,0.032849219153
1024,9760769,9532,5,0.75,3714,0.389634913974,0.568334516392,0.032865483608
256,2337793,9132,5,0.75,3558,0.389618922470,0.568311190650,0.032888809350
512,4206593,8216,5,0.75,3201,0.389605647517,0.568291827359,0.032908172641
256,2387201,9325,5,0.75,3633,0.389597855228,0.568280461266,0.032919538734
1024,9848833,9618,5,0.75,3747,0.389582033687,0.568257383437,0.032942616563
512,4618241,9020,5,0.75,3514,0.389578713969,0.568252541186,0.032947458814
512,4979713,9726,5,0.75,3789,0.389574336829,0.568246156543,0.032953843457
256,2380801,9300,5,0.75,3623,0.389569892473,0.568239673857,0.032960326143
1024,9444353,9223,5,0.75,3593,0.389569554375,0.568239180695,0.032960819305
512,4816897,9408,5,0.75,3665,0.389562074830,0.568228270781,0.032971729219
1024,10175489,9937,5,0.75,3871,0.389554191406,0.568216771755,0.032983228245
1024,10193921,9955,5,0.75,3878,0.389552988448,0.568215017080,0.032984982920
